Shipment ID	FBA15SC7LVV3
Name	FBA (10/14/20, 10:21 PM) - 4
Plan ID	PLN33J4FSX
Ship To	CLT3, 6500 Davidson Hwy, Concord, NC, US, 28027-7995
Total SKUs	2
Total Units	44
shipment-total-cases	4
Pack list	1 of 1

Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped
B025-3	Chardin Home - Eco Friendly 100% Recycled Cotton Colorful Chindi Runner Area Rug - 2'x7'	B074WHMGN3	B074WHMGN3	EAN : 8902552050071	New	"--"	"--"	"--"	8	2	16
PM004	Chardin home Round Woven Jute Braided PLACEMAT (Set of 4), Size -15” Round, Color - Natural Jute. (15'' Round)	B07P9H5C4H	B07P9H5C4H	EAN : 8902552051269	New	"--"	"--"	"--"	14	2	28
